"WMD Login Check Pro","WMD Anmeldungsprüfung Pro"
"General Login Check Configuration","Allgemeine Anmeldungsprüfung Konfiguration"
"Enable Login Check","Aktiviere Anmeldungsprüfung"
"Select 'Yes' to stop users accessing the catalog without logging in.","'Ja' anwählen um nur angemeldeten Nutzern Zugang zum Shop zu gewähren."
"Yes","Ja "
"No","Nein"
"Login Check Pages","Anmeldungsprüfung Seiten"
"Allowed Pages","Erlaubte Seiten"
"Select(Ctrl + Click to select more then one) the pages users can access without logging in.","Seiten auswählen(Strg + Klick um mehr als einen Eintrag auszuwählen) die Nutzer ohne Anmeldung besuchen können. "
"Contacts","Kontakte"
"Enable Cookies","Cookies aktivieren"
"Home","Start"
"Customer Service","Kundendienst"
"Login Check Actions","Anmeldungsprüfung Aktionen"
"Allowed Actions","Erlaubte Aktionen"
"Select(Ctrl + Click to select more then one) the actions users can access without logging in.","Aktionen auswählen(Strg + Klick um mehr als einen Eintrag auszuwählen) die Nutzer ohne Anmeldung durchführen können."
"Disable All","Alle deaktivieren"
"Customer Account Login","Kundenkonto Anmeldung"
"Customer Account Create","Kundenkonto erstellen"
"Customer Account Forgot Password","Kundenkonto Passwort vergessen"
"Customer Account Confirmation","Kundenkonto Bestätigung"
"System/Configuration/Web/Default Pages/CMS Home Page identifier is '%s'. You should allow this page or set CMS Home Page to some page you allow here to avoid this requests being forwarded to the Customer Login page.","System/Konfiguration/Web/Standardseiten/Startseite Bezeichner ist '%s'. Sie sollten diese Seite erlauben oder eine Standardseite festlegen die hier erlaubt ist um zu verhindern, dass Anfragen für die Standardseite auf die Kundenlogin Seite weitergeleitet werden."
"Contacts Page","Kontakt Seite"
"Login Protect","Login geschützt"
"Select 'Yes' to stop users accessing the contacts page without logging in.","'Ja' anwählen um nur angemeldeten Nutzern Zugang zur Kontakt Seite zu gewähren."
"Additional Modules Actions","Weitere Modul Aktionen"
"Allow","Zulassen"
"Fill in value. e.g. wordpress, to allow all actions from module with name wordpress. Seperate by empty space, e.g. catalog wordpress to allow more then one.","Wert eintragen. Z. Bsp. wordpress um alle Aktionen im Modul mit Namen Wordpress zuzulassen. Durch Leerschlag trennen, z. Bsp. catalog wordpress um mehrere Module zu erlauben."
"Redirect After Login","Weiterleitung nach Login"
"URL","URL"
"Fill in value. e.g. http://yourdomain.com/category1.html","Wert eintragen. z.Bsp. http://yourdomain.com/category1.html"
